antecedent_str,consequent_str,support,confidence,lift,leverage,conviction,antecedent_items,consequent_items,antecedent_len,consequent_len
"Jam, Baby Wipes","Diapers, Bread, Butter",0.0208,0.3939393939393939,9.750975097509752,0.01866688,1.58334,"['Jam', 'Baby Wipes']","['Diapers', 'Bread', 'Butter']",2,3
"Milk, Sugar, Jam, Bread","Coffee, Butter",0.0248,0.8493150684931506,9.739851702903104,0.022253759999999997,6.057672727272726,"['Milk', 'Sugar', 'Jam', 'Bread']","['Coffee', 'Butter']",4,2
"Coffee, Butter","Milk, Sugar, Jam, Bread",0.0248,0.28440366972477066,9.739851702903104,0.022253759999999997,1.3566307692307693,"['Coffee', 'Butter']","['Milk', 'Sugar', 'Jam', 'Bread']",2,4
"Tea, Sugar, Milk","Coffee, Cookies",0.0216,0.6067415730337079,9.723422644770961,0.019378560000000003,2.384182857142857,"['Tea', 'Sugar', 'Milk']","['Coffee', 'Cookies']",3,2
"Coffee, Cookies","Tea, Sugar, Milk",0.0216,0.3461538461538462,9.723422644770961,0.019378560000000003,1.4749647058823532,"['Coffee', 'Cookies']","['Tea', 'Sugar', 'Milk']",2,3
"Coffee, Tomato Sauce, Milk","Pasta, Sugar",0.0292,0.5748031496062992,9.709512662268567,0.02619264,2.212622222222222,"['Coffee', 'Tomato Sauce', 'Milk']","['Pasta', 'Sugar']",3,2
"Pasta, Sugar","Coffee, Tomato Sauce, Milk",0.0292,0.4932432432432432,9.709512662268567,0.02619264,1.8730879999999999,"['Pasta', 'Sugar']","['Coffee', 'Tomato Sauce', 'Milk']",2,3
"Sugar, Jam, Milk, Butter","Coffee, Bread",0.0248,0.8732394366197183,9.659728281191574,0.022232639999999998,7.17573333333333,"['Sugar', 'Jam', 'Milk', 'Butter']","['Coffee', 'Bread']",4,2
"Coffee, Bread","Sugar, Jam, Milk, Butter",0.0248,0.2743362831858407,9.659728281191573,0.022232639999999998,1.3389121951219511,"['Coffee', 'Bread']","['Sugar', 'Jam', 'Milk', 'Butter']",2,4
"Diapers, Jam","Bread, Baby Wipes, Butter",0.0208,0.52,9.558823529411766,0.018623999999999998,1.97,"['Diapers', 'Jam']","['Bread', 'Baby Wipes', 'Butter']",2,3
"Bread, Baby Wipes, Butter","Diapers, Jam",0.0208,0.3823529411764706,9.558823529411764,0.018623999999999998,1.5542857142857143,"['Bread', 'Baby Wipes', 'Butter']","['Diapers', 'Jam']",3,2
"Jam, Baby Wipes, Butter","Diapers, Bread",0.0208,0.5306122448979592,9.543385699603583,0.01862048,2.0119826086956523,"['Jam', 'Baby Wipes', 'Butter']","['Diapers', 'Bread']",3,2
"Diapers, Bread","Jam, Baby Wipes, Butter",0.0208,0.37410071942446044,9.543385699603583,0.01862048,1.5350712643678162,"['Diapers', 'Bread']","['Jam', 'Baby Wipes', 'Butter']",2,3
"Tomato Sauce, Bread","Cheese, Pasta, Butter",0.0292,0.33181818181818185,9.426652892561984,0.0261024,1.4439183673469387,"['Tomato Sauce', 'Bread']","['Cheese', 'Pasta', 'Butter']",2,3
"Cheese, Pasta, Butter","Tomato Sauce, Bread",0.0292,0.8295454545454545,9.426652892561982,0.0261024,5.350399999999998,"['Cheese', 'Pasta', 'Butter']","['Tomato Sauce', 'Bread']",3,2
"Tomato Sauce, Butter","Pasta, Jam, Bread",0.0284,0.3364928909952607,9.347024749868353,0.0253616,1.4528857142857143,"['Tomato Sauce', 'Butter']","['Pasta', 'Jam', 'Bread']",2,3
"Pasta, Jam, Bread","Tomato Sauce, Butter",0.0284,0.788888888888889,9.347024749868352,0.0253616,4.337052631578949,"['Pasta', 'Jam', 'Bread']","['Tomato Sauce', 'Butter']",3,2
"Pasta, Sugar","Coffee, Tomato Sauce",0.036,0.608108108108108,9.326811474050738,0.03214016,2.3853517241379305,"['Pasta', 'Sugar']","['Coffee', 'Tomato Sauce']",2,2
"Coffee, Tomato Sauce","Pasta, Sugar",0.036,0.5521472392638037,9.326811474050738,0.03214016,2.1006904109589044,"['Coffee', 'Tomato Sauce']","['Pasta', 'Sugar']",2,2
"Milk, Sugar, Bread","Coffee, Jam, Butter",0.0248,0.4246575342465753,9.312665224705599,0.022136959999999997,1.658838095238095,"['Milk', 'Sugar', 'Bread']","['Coffee', 'Jam', 'Butter']",3,3
"Coffee, Jam, Butter","Milk, Sugar, Bread",0.0248,0.5438596491228069,9.312665224705597,0.022136959999999997,2.0642769230769225,"['Coffee', 'Jam', 'Butter']","['Milk', 'Sugar', 'Bread']",3,3
"Cheese, Pasta, Bread","Tomato Sauce, Butter",0.0292,0.7849462365591399,9.300310859705448,0.02606032,4.257540000000001,"['Cheese', 'Pasta', 'Bread']","['Tomato Sauce', 'Butter']",3,2
"Tomato Sauce, Butter","Cheese, Pasta, Bread",0.0292,0.3459715639810426,9.300310859705448,0.02606032,1.4721072463768115,"['Tomato Sauce', 'Butter']","['Cheese', 'Pasta', 'Bread']",2,3
"Pasta, Cookies","Tea, Tomato Sauce",0.0256,0.5614035087719298,9.29476007900546,0.02284576,2.1422879999999997,"['Pasta', 'Cookies']","['Tea', 'Tomato Sauce']",2,2
"Tea, Tomato Sauce","Pasta, Cookies",0.0256,0.423841059602649,9.29476007900546,0.02284576,1.656487356321839,"['Tea', 'Tomato Sauce']","['Pasta', 'Cookies']",2,2
"Diapers, Jam, Butter","Bread, Baby Wipes",0.0208,0.7123287671232876,9.275114155251142,0.018557439999999998,3.2092190476190474,"['Diapers', 'Jam', 'Butter']","['Bread', 'Baby Wipes']",3,2
"Bread, Baby Wipes","Diapers, Jam, Butter",0.0208,0.27083333333333337,9.275114155251142,0.018557439999999998,1.3313828571428572,"['Bread', 'Baby Wipes']","['Diapers', 'Jam', 'Butter']",2,3
"Coffee, Pasta, Milk","Sugar, Tomato Sauce",0.0292,0.6186440677966102,9.206012913640032,0.02602816,2.446008888888889,"['Coffee', 'Pasta', 'Milk']","['Sugar', 'Tomato Sauce']",3,2
"Sugar, Tomato Sauce","Coffee, Pasta, Milk",0.0292,0.43452380952380953,9.206012913640032,0.02602816,1.6849515789473684,"['Sugar', 'Tomato Sauce']","['Coffee', 'Pasta', 'Milk']",2,3
"Coffee, Pasta","Sugar, Tomato Sauce",0.036,0.6122448979591837,9.110787172011662,0.032048639999999996,2.405642105263158,"['Coffee', 'Pasta']","['Sugar', 'Tomato Sauce']",2,2
"Sugar, Tomato Sauce","Coffee, Pasta",0.036,0.5357142857142857,9.110787172011662,0.032048639999999996,2.0272,"['Sugar', 'Tomato Sauce']","['Coffee', 'Pasta']",2,2
"Jam, Bread, Cookies","Tea, Butter",0.026,0.6632653061224489,9.11078717201166,0.02314624,2.75350303030303,"['Jam', 'Bread', 'Cookies']","['Tea', 'Butter']",3,2
"Tea, Butter","Jam, Bread, Cookies",0.026,0.3571428571428571,9.11078717201166,0.02314624,1.4945777777777776,"['Tea', 'Butter']","['Jam', 'Bread', 'Cookies']",2,3
"Pasta, Tea","Cookies, Tomato Sauce",0.0256,0.5203252032520326,9.096594462448122,0.022785760000000002,1.9654983050847459,"['Pasta', 'Tea']","['Cookies', 'Tomato Sauce']",2,2
"Cookies, Tomato Sauce","Pasta, Tea",0.0256,0.44755244755244755,9.09659446244812,0.022785760000000002,1.7210683544303795,"['Cookies', 'Tomato Sauce']","['Pasta', 'Tea']",2,2
"Pasta, Jam, Butter","Tomato Sauce, Bread",0.0284,0.788888888888889,8.964646464646465,0.025232,4.320000000000002,"['Pasta', 'Jam', 'Butter']","['Tomato Sauce', 'Bread']",3,2
"Tomato Sauce, Bread","Pasta, Jam, Butter",0.0284,0.32272727272727275,8.964646464646465,0.025232,1.4233557046979866,"['Tomato Sauce', 'Bread']","['Pasta', 'Jam', 'Butter']",2,3
"Pasta, Bread, Butter","Jam, Tomato Sauce",0.0284,0.5338345864661654,8.838320967982872,0.025186720000000003,2.015593548387097,"['Pasta', 'Bread', 'Butter']","['Jam', 'Tomato Sauce']",3,2
"Jam, Tomato Sauce","Pasta, Bread, Butter",0.0284,0.47019867549668876,8.838320967982872,0.025186720000000003,1.7870849999999998,"['Jam', 'Tomato Sauce']","['Pasta', 'Bread', 'Butter']",2,3
"Cheese, Sugar, Milk","Coffee, Pasta, Tomato Sauce",0.02,0.4310344827586207,8.832673827020916,0.01773568,1.671806060606061,"['Cheese', 'Sugar', 'Milk']","['Coffee', 'Pasta', 'Tomato Sauce']",3,3
"Coffee, Pasta, Tomato Sauce","Cheese, Sugar, Milk",0.02,0.40983606557377045,8.832673827020916,0.01773568,1.6158222222222223,"['Coffee', 'Pasta', 'Tomato Sauce']","['Cheese', 'Sugar', 'Milk']",3,3
"Sugar, Jam, Milk","Coffee, Bread, Butter",0.0248,0.6326530612244898,8.786848072562359,0.0219776,2.5262222222222226,"['Sugar', 'Jam', 'Milk']","['Coffee', 'Bread', 'Butter']",3,3
"Coffee, Bread, Butter","Sugar, Jam, Milk",0.0248,0.34444444444444444,8.786848072562359,0.0219776,1.4656271186440677,"['Coffee', 'Bread', 'Butter']","['Sugar', 'Jam', 'Milk']",3,3
"Tea, Bread","Butter, Jam, Cookies",0.026,0.3403141361256545,8.681483064429962,0.02300512,1.4564507936507938,"['Tea', 'Bread']","['Butter', 'Jam', 'Cookies']",2,3
"Butter, Jam, Cookies","Tea, Bread",0.026,0.6632653061224489,8.68148306442996,0.02300512,2.7428121212121206,"['Butter', 'Jam', 'Cookies']","['Tea', 'Bread']",3,2
"Sugar, Milk, Butter","Coffee, Bread",0.0408,0.7786259541984734,8.613118962372493,0.036063040000000005,4.108882758620691,"['Sugar', 'Milk', 'Butter']","['Coffee', 'Bread']",3,2
"Coffee, Bread","Sugar, Milk, Butter",0.0408,0.4513274336283186,8.613118962372493,0.036063040000000005,1.7270774193548388,"['Coffee', 'Bread']","['Sugar', 'Milk', 'Butter']",2,3
"Milk, Tomato Sauce, Bread","Pasta, Butter",0.0208,0.5473684210526316,8.606421714664018,0.0183832,2.0687906976744186,"['Milk', 'Tomato Sauce', 'Bread']","['Pasta', 'Butter']",3,2
"Pasta, Butter","Milk, Tomato Sauce, Bread",0.0208,0.3270440251572327,8.606421714664018,0.0183832,1.4295140186915887,"['Pasta', 'Butter']","['Milk', 'Tomato Sauce', 'Bread']",2,3
"Milk, Sugar, Bread, Butter","Coffee, Jam",0.0248,0.5585585585585585,8.566849057646603,0.02190512,2.117608163265306,"['Milk', 'Sugar', 'Bread', 'Butter']","['Coffee', 'Jam']",4,2
"Coffee, Jam","Milk, Sugar, Bread, Butter",0.0248,0.3803680981595092,8.566849057646603,0.02190512,1.5422059405940596,"['Coffee', 'Jam']","['Milk', 'Sugar', 'Bread', 'Butter']",2,4
"Baby Wipes, Butter","Diapers, Bread",0.0312,0.4756097560975609,8.554132303912967,0.02755264,1.8009488372093023,"['Baby Wipes', 'Butter']","['Diapers', 'Bread']",2,2
"Diapers, Bread","Baby Wipes, Butter",0.0312,0.5611510791366906,8.554132303912965,0.02755264,2.129206557377049,"['Diapers', 'Bread']","['Baby Wipes', 'Butter']",2,2
"Tea, Jam, Bread","Cookies, Butter",0.026,0.6565656565656565,8.504736484011094,0.02294288,2.686976470588234,"['Tea', 'Jam', 'Bread']","['Cookies', 'Butter']",3,2
"Cookies, Butter","Tea, Jam, Bread",0.026,0.33678756476683935,8.504736484011094,0.02294288,1.448103125,"['Cookies', 'Butter']","['Tea', 'Jam', 'Bread']",2,3
"Sugar, Jam, Bread","Coffee, Milk, Butter",0.0248,0.5585585585585585,8.463008463008462,0.0218696,2.1157959183673465,"['Sugar', 'Jam', 'Bread']","['Coffee', 'Milk', 'Butter']",3,3
"Coffee, Milk, Butter","Sugar, Jam, Bread",0.0248,0.37575757575757573,8.463008463008462,0.0218696,1.5308155339805825,"['Coffee', 'Milk', 'Butter']","['Sugar', 'Jam', 'Bread']",3,3
"Diapers, Butter","Jam, Baby Wipes",0.0216,0.4462809917355372,8.45229151014275,0.019044480000000003,1.7106149253731346,"['Diapers', 'Butter']","['Jam', 'Baby Wipes']",2,2
"Jam, Baby Wipes","Diapers, Butter",0.0216,0.4090909090909091,8.45229151014275,0.019044480000000003,1.6104000000000003,"['Jam', 'Baby Wipes']","['Diapers', 'Butter']",2,2
"Diapers, Butter","Bread, Baby Wipes",0.0312,0.6446280991735537,8.393595041322314,0.027482879999999998,2.597841860465116,"['Diapers', 'Butter']","['Bread', 'Baby Wipes']",2,2
"Bread, Baby Wipes","Diapers, Butter",0.0312,0.40625,8.393595041322314,0.027482879999999998,1.6026947368421052,"['Bread', 'Baby Wipes']","['Diapers', 'Butter']",2,2
"Cheese, Coffee, Sugar, Tomato Sauce","Pasta, Milk",0.02,0.78125,8.346688034188034,0.01760384,4.143542857142857,"['Cheese', 'Coffee', 'Sugar', 'Tomato Sauce']","['Pasta', 'Milk']",4,2
"Pasta, Milk","Cheese, Coffee, Sugar, Tomato Sauce",0.02,0.21367521367521367,8.346688034188034,0.01760384,1.2391826086956523,"['Pasta', 'Milk']","['Cheese', 'Coffee', 'Sugar', 'Tomato Sauce']",2,4
"Tea, Jam, Butter","Cookies, Bread",0.026,0.6499999999999999,8.333333333333332,0.022879999999999998,2.634285714285714,"['Tea', 'Jam', 'Butter']","['Cookies', 'Bread']",3,2
"Cookies, Bread","Tea, Jam, Butter",0.026,0.3333333333333333,8.333333333333332,0.022879999999999998,1.4399999999999997,"['Cookies', 'Bread']","['Tea', 'Jam', 'Butter']",2,3
"Coffee, Jam, Bread","Sugar, Butter",0.0316,0.6929824561403509,8.329116059379219,0.027806080000000004,2.986148571428572,"['Coffee', 'Jam', 'Bread']","['Sugar', 'Butter']",3,2
"Sugar, Butter","Coffee, Jam, Bread",0.0316,0.37980769230769235,8.329116059379217,0.027806080000000004,1.538877519379845,"['Sugar', 'Butter']","['Coffee', 'Jam', 'Bread']",2,3
"Coffee, Tea","Sugar, Cookies",0.03,0.5639097744360902,8.292790800530739,0.0263824,2.1371724137931034,"['Coffee', 'Tea']","['Sugar', 'Cookies']",2,2
"Sugar, Cookies","Coffee, Tea",0.03,0.4411764705882352,8.292790800530737,0.0263824,1.6942736842105262,"['Sugar', 'Cookies']","['Coffee', 'Tea']",2,2
"Coffee, Milk, Jam, Bread","Sugar, Butter",0.0248,0.6888888888888889,8.27991452991453,0.0218048,2.946857142857143,"['Coffee', 'Milk', 'Jam', 'Bread']","['Sugar', 'Butter']",4,2
"Sugar, Butter","Coffee, Milk, Jam, Bread",0.0248,0.2980769230769231,8.27991452991453,0.0218048,1.3733698630136988,"['Sugar', 'Butter']","['Coffee', 'Milk', 'Jam', 'Bread']",2,4
"Jam, Diapers","Baby Wipes, Butter",0.0216,0.54,8.231707317073171,0.018976,2.031304347826087,"['Jam', 'Diapers']","['Baby Wipes', 'Butter']",2,2
"Baby Wipes, Butter","Jam, Diapers",0.0216,0.32926829268292684,8.231707317073171,0.018976,1.4312727272727275,"['Baby Wipes', 'Butter']","['Jam', 'Diapers']",2,2
"Cheese, Coffee, Tomato Sauce","Pasta, Milk",0.0268,0.7701149425287357,8.227723744965125,0.02354272,3.942840000000001,"['Cheese', 'Coffee', 'Tomato Sauce']","['Pasta', 'Milk']",3,2
"Pasta, Milk","Cheese, Coffee, Tomato Sauce",0.0268,0.2863247863247863,8.227723744965123,0.02354272,1.3524359281437126,"['Pasta', 'Milk']","['Cheese', 'Coffee', 'Tomato Sauce']",2,3
"Coffee, Water, Bread","Sugar, Butter",0.0216,0.6835443037974683,8.215676728334957,0.018970880000000002,2.897088,"['Coffee', 'Water', 'Bread']","['Sugar', 'Butter']",3,2
"Sugar, Butter","Coffee, Water, Bread",0.0216,0.25961538461538464,8.215676728334955,0.018970880000000002,1.3079688311688311,"['Sugar', 'Butter']","['Coffee', 'Water', 'Bread']",2,3
"Coffee, Tea, Milk","Sugar, Cookies",0.0216,0.5567010309278351,8.186779866585809,0.018961600000000002,2.1024186046511626,"['Coffee', 'Tea', 'Milk']","['Sugar', 'Cookies']",3,2
"Sugar, Cookies","Coffee, Tea, Milk",0.0216,0.3176470588235294,8.186779866585809,0.018961600000000002,1.4086551724137932,"['Sugar', 'Cookies']","['Coffee', 'Tea', 'Milk']",2,3
