support,itemsets
0.0208,"frozenset({'Coffee', 'Bread', 'Baby Wipes'})"
0.04,"frozenset({'Coffee', 'Sugar', 'Baby Wipes'})"
0.0372,"frozenset({'Coffee', 'Milk', 'Baby Wipes'})"
0.022,"frozenset({'Coffee', 'Water', 'Baby Wipes'})"
0.0292,"frozenset({'Coffee', 'Milk', 'Sugar', 'Baby Wipes'})"
0.0228,"frozenset({'Water', 'Baby Wipes', 'Tomato Sauce'})"
0.0264,"frozenset({'Cheese', 'Tomato Sauce', 'Baby Wipes'})"
0.022,"frozenset({'Milk', 'Tomato Sauce', 'Baby Wipes'})"
0.024,"frozenset({'Cheese', 'Water', 'Baby Wipes'})"
0.0232,"frozenset({'Cheese', 'Milk', 'Baby Wipes'})"
0.036,"frozenset({'Milk', 'Sugar', 'Baby Wipes'})"
0.0236,"frozenset({'Sugar', 'Water', 'Baby Wipes'})"
0.0224,"frozenset({'Sugar', 'Bread', 'Baby Wipes'})"
0.0752,"frozenset({'Beer', 'Baby Wipes'})"
0.0632,"frozenset({'Beer', 'Bread'})"
0.0556,"frozenset({'Beer', 'Butter'})"
0.0716,"frozenset({'Beer', 'Water'})"
0.0684,"frozenset({'Beer', 'Milk'})"
0.048,"frozenset({'Beer', 'Sugar'})"
0.0456,"frozenset({'Beer', 'Coffee'})"
0.0292,"frozenset({'Beer', 'Wine'})"
0.0396,"frozenset({'Beer', 'Cookies'})"
0.0388,"frozenset({'Beer', 'Tea'})"
0.0364,"frozenset({'Beer', 'Yogurt'})"
0.0356,"frozenset({'Beer', 'Tomato Sauce'})"
0.0452,"frozenset({'Beer', 'Cheese'})"
0.0432,"frozenset({'Beer', 'Jam'})"
0.032,"frozenset({'Beer', 'Pasta'})"
0.0424,"frozenset({'Beer', 'Eggs'})"
0.046,"frozenset({'Beer', 'Soda'})"
0.0284,"frozenset({'Beer', 'Bread', 'Baby Wipes'})"
0.0248,"frozenset({'Beer', 'Water', 'Bread'})"
0.0236,"frozenset({'Beer', 'Milk', 'Bread'})"
0.0464,"frozenset({'Beer', 'Bread', 'Butter'})"
0.0228,"frozenset({'Beer', 'Baby Wipes', 'Butter'})"
0.0244,"frozenset({'Beer', 'Milk', 'Butter'})"
0.0216,"frozenset({'Beer', 'Water', 'Butter'})"
0.0328,"frozenset({'Beer', 'Water', 'Baby Wipes'})"
0.0332,"frozenset({'Beer', 'Water', 'Milk'})"
0.032,"frozenset({'Beer', 'Milk', 'Baby Wipes'})"
0.0296,"frozenset({'Beer', 'Sugar', 'Milk'})"
0.0228,"frozenset({'Beer', 'Sugar', 'Water'})"
0.0228,"frozenset({'Beer', 'Sugar', 'Baby Wipes'})"
0.0344,"frozenset({'Beer', 'Coffee', 'Milk'})"
0.034,"frozenset({'Beer', 'Coffee', 'Sugar'})"
0.0216,"frozenset({'Beer', 'Coffee', 'Water'})"
0.022,"frozenset({'Beer', 'Coffee', 'Baby Wipes'})"
0.0256,"frozenset({'Beer', 'Coffee', 'Sugar', 'Milk'})"
0.0244,"frozenset({'Beer', 'Tea', 'Cookies'})"
0.0208,"frozenset({'Beer', 'Cheese', 'Tomato Sauce'})"
0.02,"frozenset({'Beer', 'Cheese', 'Baby Wipes'})"
0.034,"frozenset({'Beer', 'Jam', 'Bread'})"
0.0336,"frozenset({'Beer', 'Jam', 'Butter'})"
0.0328,"frozenset({'Beer', 'Jam', 'Bread', 'Butter'})"
0.0276,"frozenset({'Beer', 'Pasta', 'Tomato Sauce'})"
0.0204,"frozenset({'Beer', 'Eggs', 'Water'})"
0.0248,"frozenset({'Beer', 'Soda', 'Baby Wipes'})"
0.1264,"frozenset({'Diapers', 'Baby Wipes'})"
0.0856,"frozenset({'Beer', 'Diapers'})"
0.0556,"frozenset({'Diapers', 'Bread'})"
0.0484,"frozenset({'Diapers', 'Butter'})"
0.0636,"frozenset({'Diapers', 'Water'})"
0.04,"frozenset({'Jam', 'Diapers'})"
0.0316,"frozenset({'Tea', 'Diapers'})"
0.0396,"frozenset({'Diapers', 'Tomato Sauce'})"
0.032,"frozenset({'Yogurt', 'Diapers'})"
0.0448,"frozenset({'Cheese', 'Diapers'})"
0.0352,"frozenset({'Pasta', 'Diapers'})"
0.0624,"frozenset({'Diapers', 'Milk'})"
0.0444,"frozenset({'Sugar', 'Diapers'})"
0.0412,"frozenset({'Coffee', 'Diapers'})"
0.0264,"frozenset({'Wine', 'Diapers'})"
0.0432,"frozenset({'Soda', 'Diapers'})"
0.0344,"frozenset({'Eggs', 'Diapers'})"
0.0344,"frozenset({'Diapers', 'Cookies'})"
0.0692,"frozenset({'Beer', 'Diapers', 'Baby Wipes'})"
0.0436,"frozenset({'Bread', 'Diapers', 'Baby Wipes'})"
0.034,"frozenset({'Beer', 'Diapers', 'Bread'})"
0.0248,"frozenset({'Diapers', 'Water', 'Bread'})"
0.02,"frozenset({'Milk', 'Diapers', 'Bread'})"
0.0268,"frozenset({'Beer', 'Bread', 'Diapers', 'Baby Wipes'})"
0.0204,"frozenset({'Diapers', 'Bread', 'Water', 'Baby Wipes'})"
0.0404,"frozenset({'Diapers', 'Bread', 'Butter'})"
0.0376,"frozenset({'Diapers', 'Baby Wipes', 'Butter'})"
0.0284,"frozenset({'Beer', 'Diapers', 'Butter'})"
0.022,"frozenset({'Diapers', 'Water', 'Butter'})"
0.0312,"frozenset({'Bread', 'Diapers', 'Baby Wipes', 'Butter'})"
0.024,"frozenset({'Beer', 'Diapers', 'Bread', 'Butter'})"
0.022,"frozenset({'Beer', 'Diapers', 'Baby Wipes', 'Butter'})"
0.0532,"frozenset({'Diapers', 'Water', 'Baby Wipes'})"
0.036,"frozenset({'Beer', 'Diapers', 'Water'})"
0.0296,"frozenset({'Beer', 'Diapers', 'Water', 'Baby Wipes'})"
0.03,"frozenset({'Jam', 'Diapers', 'Baby Wipes'})"
0.0296,"frozenset({'Jam', 'Diapers', 'Bread'})"
0.0292,"frozenset({'Jam', 'Diapers', 'Butter'})"
0.022,"frozenset({'Beer', 'Jam', 'Diapers'})"
0.022,"frozenset({'Jam', 'Bread', 'Diapers', 'Baby Wipes'})"
0.0284,"frozenset({'Jam', 'Diapers', 'Bread', 'Butter'})"
0.0216,"frozenset({'Jam', 'Diapers', 'Baby Wipes', 'Butter'})"
0.0208,"frozenset({'Diapers', 'Jam', 'Baby Wipes', 'Bread', 'Butter'})"
0.0248,"frozenset({'Tea', 'Diapers', 'Baby Wipes'})"
0.032,"frozenset({'Diapers', 'Baby Wipes', 'Tomato Sauce'})"
0.0232,"frozenset({'Cheese', 'Diapers', 'Tomato Sauce'})"
0.028,"frozenset({'Yogurt', 'Diapers', 'Baby Wipes'})"
0.0368,"frozenset({'Cheese', 'Diapers', 'Baby Wipes'})"
0.0228,"frozenset({'Beer', 'Cheese', 'Diapers'})"
0.0308,"frozenset({'Pasta', 'Diapers', 'Tomato Sauce'})"
0.0288,"frozenset({'Pasta', 'Diapers', 'Baby Wipes'})"
0.0232,"frozenset({'Cheese', 'Pasta', 'Diapers'})"
0.0248,"frozenset({'Pasta', 'Diapers', 'Baby Wipes', 'Tomato Sauce'})"
0.0228,"frozenset({'Cheese', 'Pasta', 'Diapers', 'Tomato Sauce'})"
0.0348,"frozenset({'Beer', 'Diapers', 'Milk'})"
0.0276,"frozenset({'Diapers', 'Water', 'Milk'})"
0.0528,"frozenset({'Milk', 'Diapers', 'Baby Wipes'})"
0.0296,"frozenset({'Beer', 'Milk', 'Diapers', 'Baby Wipes'})"
0.0236,"frozenset({'Diapers', 'Milk', 'Water', 'Baby Wipes'})"
0.0364,"frozenset({'Sugar', 'Diapers', 'Baby Wipes'})"
0.0284,"frozenset({'Sugar', 'Diapers', 'Milk'})"
0.0256,"frozenset({'Beer', 'Sugar', 'Diapers'})"
0.024,"frozenset({'Milk', 'Sugar', 'Diapers', 'Baby Wipes'})"
0.0216,"frozenset({'Beer', 'Sugar', 'Diapers', 'Baby Wipes'})"
0.0328,"frozenset({'Coffee', 'Diapers', 'Baby Wipes'})"
0.0316,"frozenset({'Coffee', 'Sugar', 'Diapers'})"
0.0296,"frozenset({'Coffee', 'Diapers', 'Milk'})"
0.0252,"frozenset({'Beer', 'Coffee', 'Diapers'})"
0.026,"frozenset({'Coffee', 'Sugar', 'Diapers', 'Baby Wipes'})"
0.0236,"frozenset({'Coffee', 'Sugar', 'Diapers', 'Milk'})"
0.0236,"frozenset({'Coffee', 'Milk', 'Diapers', 'Baby Wipes'})"
0.0204,"frozenset({'Beer', 'Coffee', 'Diapers', 'Baby Wipes'})"
0.0228,"frozenset({'Wine', 'Diapers', 'Baby Wipes'})"
0.0364,"frozenset({'Soda', 'Diapers', 'Baby Wipes'})"
0.0256,"frozenset({'Beer', 'Soda', 'Diapers'})"
0.0228,"frozenset({'Beer', 'Soda', 'Diapers', 'Baby Wipes'})"
0.0276,"frozenset({'Eggs', 'Diapers', 'Baby Wipes'})"
0.0208,"frozenset({'Beer', 'Eggs', 'Diapers'})"
0.03,"frozenset({'Diapers', 'Cookies', 'Baby Wipes'})"
0.0204,"frozenset({'Beer', 'Diapers', 'Cookies'})"
0.0324,"frozenset({'Soap', 'Butter'})"
0.0324,"frozenset({'Soap', 'Bread'})"
0.022,"frozenset({'Soap', 'Baby Wipes'})"
0.046,"frozenset({'Soap', 'Milk'})"
0.036,"frozenset({'Soap', 'Water'})"
0.022,"frozenset({'Soap', 'Cookies'})"
0.0208,"frozenset({'Soap', 'Tea'})"
0.0248,"frozenset({'Soap', 'Tomato Sauce'})"
0.0236,"frozenset({'Soap', 'Eggs'})"
0.0216,"frozenset({'Pasta', 'Soap'})"
0.0248,"frozenset({'Coffee', 'Soap'})"
0.0248,"frozenset({'Soap', 'Jam'})"
0.026,"frozenset({'Cheese', 'Soap'})"
0.0264,"frozenset({'Soda', 'Soap'})"
0.0256,"frozenset({'Soap', 'Sugar'})"
0.024,"frozenset({'Soap', 'Bread', 'Butter'})"
0.0204,"frozenset({'Coffee', 'Soap', 'Milk'})"
0.1692,"frozenset({'Water', 'Milk'})"
0.0964,"frozenset({'Eggs', 'Water'})"
0.0536,"frozenset({'Eggs', 'Tomato Sauce'})"
0.0936,"frozenset({'Eggs', 'Milk'})"
0.0556,"frozenset({'Coffee', 'Eggs'})"
0.084,"frozenset({'Eggs', 'Bread'})"
0.0628,"frozenset({'Soda', 'Eggs'})"
0.0556,"frozenset({'Eggs', 'Sugar'})"
0.0796,"frozenset({'Eggs', 'Butter'})"
0.0572,"frozenset({'Eggs', 'Jam'})"
0.0652,"frozenset({'Cheese', 'Eggs'})"
0.0572,"frozenset({'Eggs', 'Cookies'})"
0.0556,"frozenset({'Eggs', 'Tea'})"
0.0216,"frozenset({'Eggs', 'Tomato Sauce', 'Bread'})"
0.0208,"frozenset({'Eggs', 'Tomato Sauce', 'Milk'})"
0.0204,"frozenset({'Eggs', 'Tomato Sauce', 'Butter'})"
0.0304,"frozenset({'Cheese', 'Eggs', 'Tomato Sauce'})"
0.0204,"frozenset({'Eggs', 'Water', 'Tomato Sauce'})"
0.0412,"frozenset({'Eggs', 'Water', 'Milk'})"
0.0436,"frozenset({'Coffee', 'Eggs', 'Milk'})"
0.042,"frozenset({'Coffee', 'Eggs', 'Sugar'})"
0.0208,"frozenset({'Coffee', 'Eggs', 'Bread'})"
0.0228,"frozenset({'Coffee', 'Eggs', 'Water'})"
0.0208,"frozenset({'Cheese', 'Coffee', 'Eggs'})"
0.0324,"frozenset({'Coffee', 'Eggs', 'Sugar', 'Milk'})"
0.0352,"frozenset({'Milk', 'Eggs', 'Bread'})"
0.0312,"frozenset({'Eggs', 'Water', 'Bread'})"
0.026,"frozenset({'Soda', 'Eggs', 'Milk'})"
0.0232,"frozenset({'Soda', 'Eggs', 'Bread'})"
0.0224,"frozenset({'Soda', 'Eggs', 'Butter'})"
0.0248,"frozenset({'Soda', 'Eggs', 'Water'})"
0.0368,"frozenset({'Eggs', 'Sugar', 'Milk'})"
0.02,"frozenset({'Eggs', 'Sugar', 'Bread'})"
0.024,"frozenset({'Eggs', 'Sugar', 'Water'})"
0.0648,"frozenset({'Eggs', 'Bread', 'Butter'})"
0.0308,"frozenset({'Eggs', 'Water', 'Butter'})"
0.0304,"frozenset({'Eggs', 'Milk', 'Butter'})"
0.0236,"frozenset({'Eggs', 'Water', 'Bread', 'Butter'})"
0.0264,"frozenset({'Milk', 'Eggs', 'Bread', 'Butter'})"
0.024,"frozenset({'Eggs', 'Jam', 'Milk'})"
0.0216,"frozenset({'Eggs', 'Water', 'Jam'})"
0.0444,"frozenset({'Eggs', 'Jam', 'Butter'})"
0.044,"frozenset({'Eggs', 'Jam', 'Bread'})"
0.042,"frozenset({'Eggs', 'Jam', 'Bread', 'Butter'})"
0.0268,"frozenset({'Cheese', 'Eggs', 'Water'})"
0.0252,"frozenset({'Cheese', 'Eggs', 'Bread'})"
0.0248,"frozenset({'Cheese', 'Eggs', 'Butter'})"
0.0276,"frozenset({'Cheese', 'Eggs', 'Milk'})"
0.022,"frozenset({'Cheese', 'Eggs', 'Bread', 'Butter'})"
0.022,"frozenset({'Eggs', 'Cookies', 'Bread'})"
0.022,"frozenset({'Eggs', 'Cookies', 'Milk'})"
0.0208,"frozenset({'Eggs', 'Cookies', 'Butter'})"
0.024,"frozenset({'Water', 'Eggs', 'Cookies'})"
0.0404,"frozenset({'Eggs', 'Tea', 'Cookies'})"
0.0208,"frozenset({'Eggs', 'Tea', 'Bread'})"
0.0208,"frozenset({'Eggs', 'Tea', 'Milk'})"
0.024,"frozenset({'Eggs', 'Tea', 'Water'})"
0.0648,"frozenset({'Water', 'Croissant'})"
0.0356,"frozenset({'Eggs', 'Croissant'})"
0.0596,"frozenset({'Milk', 'Croissant'})"
0.046,"frozenset({'Bread', 'Croissant'})"
0.036,"frozenset({'Sugar', 'Croissant'})"
0.0344,"frozenset({'Coffee', 'Croissant'})"
0.028,"frozenset({'Wine', 'Croissant'})"
0.0256,"frozenset({'Beer', 'Croissant'})"
0.0356,"frozenset({'Tomato Sauce', 'Croissant'})"
0.034,"frozenset({'Cookies', 'Croissant'})"
0.032,"frozenset({'Tea', 'Croissant'})"
0.0456,"frozenset({'Soda', 'Croissant'})"
0.0428,"frozenset({'Croissant', 'Butter'})"
0.0344,"frozenset({'Jam', 'Croissant'})"
0.0288,"frozenset({'Croissant', 'Baby Wipes'})"
0.044,"frozenset({'Cheese', 'Croissant'})"
0.0288,"frozenset({'Yogurt', 'Croissant'})"
0.024,"frozenset({'Pasta', 'Croissant'})"
0.0212,"frozenset({'Diapers', 'Croissant'})"
0.0244,"frozenset({'Milk', 'Water', 'Croissant'})"
0.0224,"frozenset({'Milk', 'Sugar', 'Croissant'})"
0.0256,"frozenset({'Coffee', 'Sugar', 'Croissant'})"
0.0256,"frozenset({'Coffee', 'Milk', 'Croissant'})"
0.022,"frozenset({'Tea', 'Cookies', 'Croissant'})"
0.0352,"frozenset({'Bread', 'Croissant', 'Butter'})"
0.0248,"frozenset({'Jam', 'Croissant', 'Butter'})"
0.0248,"frozenset({'Jam', 'Bread', 'Croissant'})"
0.024,"frozenset({'Jam', 'Bread', 'Croissant', 'Butter'})"
0.02,"frozenset({'Cheese', 'Milk', 'Croissant'})"
0.0212,"frozenset({'Pasta', 'Tomato Sauce', 'Croissant'})"
0.048,"frozenset({'Rice', 'Water'})"
0.0236,"frozenset({'Eggs', 'Rice'})"
0.0416,"frozenset({'Rice', 'Bread'})"
0.0384,"frozenset({'Rice', 'Butter'})"
0.0304,"frozenset({'Rice', 'Jam'})"
0.03,"frozenset({'Coffee', 'Rice'})"
0.0284,"frozenset({'Soda', 'Rice'})"
0.0236,"frozenset({'Rice', 'Baby Wipes'})"
0.0264,"frozenset({'Rice', 'Tea'})"
0.0248,"frozenset({'Rice', 'Cookies'})"
0.0216,"frozenset({'Yogurt', 'Rice'})"
0.0488,"frozenset({'Rice', 'Milk'})"
0.02,"frozenset({'Pasta', 'Rice'})"
0.028,"frozenset({'Rice', 'Sugar'})"
0.0288,"frozenset({'Cheese', 'Rice'})"
0.022,"frozenset({'Rice', 'Tomato Sauce'})"
0.0204,"frozenset({'Wine', 'Rice'})"
0.0228,"frozenset({'Rice', 'Water', 'Milk'})"
0.0324,"frozenset({'Rice', 'Bread', 'Butter'})"
0.0244,"frozenset({'Rice', 'Jam', 'Bread'})"
0.024,"frozenset({'Rice', 'Jam', 'Butter'})"
0.0232,"frozenset({'Rice', 'Jam', 'Bread', 'Butter'})"
0.0216,"frozenset({'Coffee', 'Rice', 'Milk'})"
0.0216,"frozenset({'Coffee', 'Rice', 'Sugar'})"
0.1616,"frozenset({'Sugar', 'Milk'})"
0.1028,"frozenset({'Sugar', 'Water'})"
0.0904,"frozenset({'Sugar', 'Bread'})"
0.0736,"frozenset({'Soda', 'Sugar'})"
0.0832,"frozenset({'Sugar', 'Butter'})"
0.0684,"frozenset({'Cheese', 'Sugar'})"
0.0664,"frozenset({'Sugar', 'Water', 'Milk'})"
0.0584,"frozenset({'Milk', 'Sugar', 'Bread'})"
0.0352,"frozenset({'Sugar', 'Water', 'Bread'})"
0.024,"frozenset({'Milk', 'Sugar', 'Water', 'Bread'})"
0.0476,"frozenset({'Soda', 'Sugar', 'Milk'})"
0.026,"frozenset({'Soda', 'Sugar', 'Bread'})"
0.0248,"frozenset({'Soda', 'Sugar', 'Butter'})"
0.0248,"frozenset({'Soda', 'Sugar', 'Water'})"
0.0208,"frozenset({'Soda', 'Sugar', 'Bread', 'Butter'})"
0.0692,"frozenset({'Sugar', 'Bread', 'Butter'})"
0.0524,"frozenset({'Sugar', 'Milk', 'Butter'})"
0.034,"frozenset({'Sugar', 'Water', 'Butter'})"
0.0444,"frozenset({'Milk', 'Sugar', 'Bread', 'Butter'})"
0.0288,"frozenset({'Sugar', 'Water', 'Bread', 'Butter'})"
0.0224,"frozenset({'Sugar', 'Water', 'Milk', 'Butter'})"
0.0464,"frozenset({'Cheese', 'Sugar', 'Milk'})"
0.0268,"frozenset({'Cheese', 'Sugar', 'Water'})"
0.0232,"frozenset({'Cheese', 'Sugar', 'Bread'})"
0.0212,"frozenset({'Cheese', 'Sugar', 'Butter'})"
0.19,"frozenset({'Coffee', 'Milk'})"
0.1836,"frozenset({'Coffee', 'Sugar'})"
0.094,"frozenset({'Coffee', 'Water'})"
0.0904,"frozenset({'Coffee', 'Bread'})"
0.0704,"frozenset({'Soda', 'Coffee'})"
0.0652,"frozenset({'Coffee', 'Tomato Sauce'})"
0.0872,"frozenset({'Coffee', 'Butter'})"
0.0652,"frozenset({'Coffee', 'Jam'})"
0.0716,"frozenset({'Cheese', 'Coffee'})"
0.1376,"frozenset({'Coffee', 'Sugar', 'Milk'})"
0.0712,"frozenset({'Coffee', 'Water', 'Milk'})"
0.0704,"frozenset({'Coffee', 'Sugar', 'Water'})"
0.052,"frozenset({'Coffee', 'Sugar', 'Water', 'Milk'})"
0.0696,"frozenset({'Coffee', 'Milk', 'Bread'})"
0.066,"frozenset({'Coffee', 'Sugar', 'Bread'})"
0.0316,"frozenset({'Coffee', 'Water', 'Bread'})"
0.0516,"frozenset({'Coffee', 'Milk', 'Sugar', 'Bread'})"
0.026,"frozenset({'Coffee', 'Sugar', 'Water', 'Bread'})"
0.0244,"frozenset({'Coffee', 'Milk', 'Water', 'Bread'})"
0.0204,"frozenset({'Water', 'Sugar', 'Bread', 'Coffee', 'Milk'})"
0.054,"frozenset({'Soda', 'Coffee', 'Sugar'})"
0.0528,"frozenset({'Soda', 'Coffee', 'Milk'})"
0.024,"frozenset({'Soda', 'Coffee', 'Bread'})"
0.0244,"frozenset({'Soda', 'Coffee', 'Butter'})"
0.0412,"frozenset({'Soda', 'Coffee', 'Sugar', 'Milk'})"
0.0508,"frozenset({'Coffee', 'Tomato Sauce', 'Milk'})"
0.0484,"frozenset({'Coffee', 'Sugar', 'Tomato Sauce'})"
0.0252,"frozenset({'Coffee', 'Tomato Sauce', 'Bread'})"
0.0208,"frozenset({'Soda', 'Coffee', 'Tomato Sauce'})"
0.0248,"frozenset({'Coffee', 'Tomato Sauce', 'Butter'})"
0.024,"frozenset({'Coffee', 'Water', 'Tomato Sauce'})"
0.0348,"frozenset({'Cheese', 'Coffee', 'Tomato Sauce'})"
0.0372,"frozenset({'Coffee', 'Sugar', 'Tomato Sauce', 'Milk'})"
0.0212,"frozenset({'Coffee', 'Milk', 'Tomato Sauce', 'Bread'})"
0.0212,"frozenset({'Coffee', 'Tomato Sauce', 'Bread', 'Butter'})"
0.0204,"frozenset({'Coffee', 'Tomato Sauce', 'Milk', 'Butter'})"
0.028,"frozenset({'Cheese', 'Coffee', 'Tomato Sauce', 'Milk'})"
0.0256,"frozenset({'Cheese', 'Coffee', 'Sugar', 'Tomato Sauce'})"
0.0204,"frozenset({'Cheese', 'Tomato Sauce', 'Sugar', 'Coffee', 'Milk'})"
0.072,"frozenset({'Coffee', 'Bread', 'Butter'})"
0.066,"frozenset({'Coffee', 'Milk', 'Butter'})"
0.0624,"frozenset({'Coffee', 'Sugar', 'Butter'})"
0.032,"frozenset({'Coffee', 'Water', 'Butter'})"
0.0552,"frozenset({'Coffee', 'Milk', 'Bread', 'Butter'})"
0.0532,"frozenset({'Coffee', 'Sugar', 'Bread', 'Butter'})"
0.0472,"frozenset({'Coffee', 'Sugar', 'Milk', 'Butter'})"
0.0408,"frozenset({'Sugar', 'Bread', 'Coffee', 'Milk', 'Butter'})"
0.0256,"frozenset({'Coffee', 'Sugar', 'Water', 'Butter'})"
0.0252,"frozenset({'Coffee', 'Water', 'Bread', 'Butter'})"
0.024,"frozenset({'Coffee', 'Water', 'Milk', 'Butter'})"
0.0216,"frozenset({'Water', 'Sugar', 'Bread', 'Coffee', 'Butter'})"
0.0456,"frozenset({'Coffee', 'Jam', 'Butter'})"
0.0456,"frozenset({'Coffee', 'Jam', 'Bread'})"
0.0496,"frozenset({'Coffee', 'Jam', 'Milk'})"
0.046,"frozenset({'Coffee', 'Sugar', 'Jam'})"
0.0248,"frozenset({'Coffee', 'Jam', 'Water'})"
0.036,"frozenset({'Coffee', 'Jam', 'Milk', 'Butter'})"
0.0324,"frozenset({'Coffee', 'Jam', 'Sugar', 'Butter'})"
0.0256,"frozenset({'Jam', 'Sugar', 'Coffee', 'Milk', 'Butter'})"
0.0436,"frozenset({'Coffee', 'Jam', 'Bread', 'Butter'})"
0.036,"frozenset({'Coffee', 'Milk', 'Jam', 'Bread'})"
0.0328,"frozenset({'Coffee', 'Sugar', 'Jam', 'Bread'})"
0.034,"frozenset({'Jam', 'Bread', 'Coffee', 'Milk', 'Butter'})"
0.0316,"frozenset({'Jam', 'Sugar', 'Bread', 'Coffee', 'Butter'})"
0.026,"frozenset({'Jam', 'Sugar', 'Bread', 'Coffee', 'Milk'})"
0.0248,"frozenset({'Jam', 'Sugar', 'Bread', 'Coffee', 'Milk', 'Butter'})"
0.0348,"frozenset({'Coffee', 'Sugar', 'Jam', 'Milk'})"
0.0568,"frozenset({'Cheese', 'Coffee', 'Milk'})"
0.0268,"frozenset({'Cheese', 'Coffee', 'Bread'})"
0.0256,"frozenset({'Cheese', 'Coffee', 'Butter'})"
0.0504,"frozenset({'Cheese', 'Coffee', 'Sugar'})"
0.0272,"frozenset({'Cheese', 'Coffee', 'Water'})"
0.0208,"frozenset({'Cheese', 'Coffee', 'Milk', 'Bread'})"
0.0216,"frozenset({'Cheese', 'Coffee', 'Bread', 'Butter'})"
0.0396,"frozenset({'Cheese', 'Coffee', 'Sugar', 'Milk'})"
0.022,"frozenset({'Cheese', 'Coffee', 'Water', 'Milk'})"
0.0752,"frozenset({'Wine', 'Water'})"
0.0712,"frozenset({'Wine', 'Milk'})"
0.0604,"frozenset({'Wine', 'Bread'})"
0.044,"frozenset({'Wine', 'Sugar'})"
0.0428,"frozenset({'Wine', 'Coffee'})"
0.1156,"frozenset({'Cheese', 'Wine'})"
0.0584,"frozenset({'Wine', 'Butter'})"
0.0468,"frozenset({'Wine', 'Soda'})"
0.04,"frozenset({'Wine', 'Tea'})"
0.0368,"frozenset({'Wine', 'Yogurt'})"
